condition,level,n,mean_clean_wt_dice,mean_wt_dice,std_wt_dice,mean_wt_dice_drop,std_wt_dice_drop,artifact,relative_drop_percent
noise_L8,8,74,0.7628045228832854,0.6461395910176252,0.17089487830886912,0.11666493186566015,0.15395234117930046,noise,15.29421081887197
noise_L9,9,74,0.7628045228832854,0.5495079058151487,0.19620874672299382,0.21329661706813663,0.18900862228161053,noise,27.962159461497134
noise_L10,10,74,0.7628045228832854,0.44308075103329114,0.2060344673282775,0.3197237718499942,0.20494418855008087,noise,41.91424700019958
ringing_L1,1,74,0.7628045228832854,0.764650146935151,0.1543725778993933,-0.0018456240518655684,0.01636951067555872,ringing,-0.24195242640793335
ringing_L2,2,74,0.7628045228832854,0.7648227306983685,0.15446164723745065,-0.0020182078150831587,0.017359255466475994,ringing,-0.2645773267644821
ringing_L3,3,74,0.7628045228832854,0.7641560024332819,0.15528920656763892,-0.0013514795499965154,0.018790003757590646,ringing,-0.177172461548619
ringing_L4,4,74,0.7628045228832854,0.7622944347378049,0.15683558612182866,0.0005100881454805073,0.02099930574987749,ringing,0.06687009976716597
ringing_L5,5,74,0.7628045228832854,0.7583422124253785,0.15982369557951864,0.004462310457906834,0.024705051585246544,ringing,0.5849874147363439
ringing_L6,6,74,0.7628045228832854,0.7498009652707246,0.16502008385284594,0.01300355761256075,0.03132643658216582,ringing,1.7047037900888782
ringing_L7,7,74,0.7628045228832854,0.7290315007665806,0.1744635336954737,0.03377302211670475,0.046109800954435905,ringing,4.427480580352074
ringing_L8,8,74,0.7628045228832854,0.6549033079021348,0.19759580327926246,0.10790121498115053,0.08113278623849185,ringing,14.145329733140583
ringing_L9,9,74,0.7628045228832854,0.5704967956264614,0.2082143367347504,0.19230772725682405,0.10306855295036262,ringing,25.210617070010283
ringing_L10,10,74,0.7628045228832854,0.41928887375779406,0.20380952023200236,0.3435156491254913,0.129036463152,ringing,45.03324755168654
