condition,level,n,mean_clean_wt_dice,mean_wt_dice,std_wt_dice,mean_wt_dice_drop,std_wt_dice_drop,artifact,relative_drop_percent,artifact_display,mse_mean,mse_std,psnr_mean,psnr_std,n_measurements,n_patients
contrast_L4,4,74,0.7628045228832854,0.7631197239538674,0.1550594480261374,-0.000315201070582,0.0153627582738516,contrast,-0.0413213426410471,Contrast reduction,0.0171247884108861,0.006890318356165,18.009028807335017,1.7472741442473476,296,74
contrast_L5,5,74,0.7628045228832854,0.7631186451072256,0.1550598311524045,-0.0003141222239402,0.0153632683649389,contrast,-0.0411799110410219,Contrast reduction,0.0277393036836607,0.0111611466011393,15.914324040444995,1.74727077842524,296,74
contrast_L6,6,74,0.7628045228832854,0.7631213828255377,0.1550567675079626,-0.0003168599422523,0.0153604512913428,contrast,-0.041538812729456,Contrast reduction,0.023158254177385,0.0068029933867879,16.542186536699425,1.2969410692824834,296,74
contrast_L7,7,74,0.7628045228832854,0.76311988325895,0.1550592966464826,-0.0003153603756645,0.0153597346804197,contrast,-0.0413422267703103,Contrast reduction,0.026143571009507,0.0076800490696149,16.015599128117614,1.296951923212936,296,74
contrast_L8,8,74,0.7628045228832854,0.7631180751244758,0.1550600776160768,-0.0003135522411904,0.0153575178095777,contrast,-0.0411051890470249,Contrast reduction,0.0293098142735559,0.0086102703034942,15.519120820420303,1.2969618680829686,296,74
contrast_L9,9,74,0.7628045228832854,0.7631195517769157,0.1550630479297591,-0.0003150288936303,0.0153575111708339,contrast,-0.0412987710717313,Contrast reduction,0.0326569927604617,0.0095936579839719,15.049492726307228,1.296971585396929,296,74
contrast_L10,10,74,0.7628045228832854,0.7631186734370886,0.1550618221417375,-0.0003141505538032,0.0153606507330686,contrast,-0.0411836249496491,Contrast reduction,0.0347521447897511,0.0102092046951315,14.77944004158791,1.2969762212019522,296,74
ghosting_L1,1,74,0.7628045228832854,0.7660792333492609,0.1514206386769889,-0.0032747104659755,0.0194677140502428,ghosting,-0.4292987741600702,Ghosting,0.0013730063212672,0.0004994941794226,28.916297312407018,1.6140391182069962,296,74
ghosting_L2,2,74,0.7628045228832854,0.7631345312397565,0.1495945073794788,-0.0003300083564711,0.0299695414031917,ghosting,-0.0432625065231314,Ghosting,0.0039967406235125,0.0014448633795121,24.27251604896384,1.6048191194497476,296,74
ghosting_L3,3,74,0.7628045228832854,0.7491933595628124,0.1512392293785039,0.0136111633204729,0.0439664624543154,ghosting,1.784357972737868,Ghosting,0.0079475952740255,0.0028718842450592,21.286958272391377,1.6040571907407273,296,74
ghosting_L4,4,74,0.7628045228832854,0.7147837996603299,0.15638401478325,0.0480207232229554,0.0593852171430836,ghosting,6.295285591837393,Ghosting,0.0133234554920597,0.0048176403759751,19.04351880289593,1.6050266470814023,296,74
ghosting_L5,5,74,0.7628045228832854,0.6610611613444185,0.1626510212126064,0.1017433615388668,0.0701956184172291,ghosting,13.338064797294644,Ghosting,0.0201968617148923,0.0073261469325398,17.238633125254196,1.609822138468313,296,74
ghosting_L6,6,74,0.7628045228832854,0.5941902568478151,0.1684178345029283,0.1686142660354702,0.0796074582057073,ghosting,22.104518389342253,Ghosting,0.0279148006906128,0.0100897546525857,15.831136627794804,1.604494795232314,296,74
ghosting_L7,7,74,0.7628045228832854,0.5242386771100238,0.1725697625374183,0.2385658457732616,0.0885693989910248,ghosting,31.27483367187165,Ghosting,0.0372226469885759,0.0134570672116942,14.581543737132014,1.6048660569431894,296,74
ghosting_L8,8,74,0.7628045228832854,0.4576946617830904,0.1741505338057045,0.3051098611001949,0.0947567266084994,ghosting,39.99843366776667,Ghosting,0.047893251786386,0.01731240023687,13.48679436383372,1.6046505635885966,296,74
ghosting_L9,9,74,0.7628045228832854,0.4277873692990286,0.174509594720229,0.3350171535842566,0.0990212523666309,ghosting,43.91913570700166,Ghosting,0.053832670717777,0.0194560541162993,12.97898399530985,1.6043944891669466,296,74
ghosting_L10,10,74,0.7628045228832854,0.4050602247851328,0.1734529352956154,0.3577442980981525,0.1018301180105363,ghosting,46.89855492019546,Ghosting,0.0598503777039916,0.0216460346855693,12.519153117794566,1.605396233707367,296,74
