condition,artifact,artifact_display,level,num_test_patients,clean_dice_WT,degraded_dice_WT,drop_dice_WT,clean_iou_WT,degraded_iou_WT,drop_iou_WT,clean_dice_TC,degraded_dice_TC,drop_dice_TC,clean_iou_TC,degraded_iou_TC,drop_iou_TC,clean_dice_ET,degraded_dice_ET,drop_dice_ET,clean_iou_ET,degraded_iou_ET,drop_iou_ET,clean_pred_WT_voxels,degraded_pred_WT_voxels,clean_true_WT_voxels,degraded_true_WT_voxels,break_threshold_crossed
ghosting_L1,ghosting,Ghosting,1,74,0.91246020016083,0.9175459716167929,-0.0050857714559626,0.8461928394606912,0.8535315691976573,-0.007338729736966,0.8844378949401662,0.886979212874633,-0.0025413179344667,0.8086667324639445,0.8118574068032539,-0.0031906743393094,0.8185845341459236,0.818007533951235,0.0005770001946885,0.7283002312497782,0.7287798505819152,-0.000479619332137,93225.24324324324,95625.98648648648,99706.22972972972,99706.22972972972,False
ghosting_L2,ghosting,Ghosting,2,74,0.91246020016083,0.9157522721906028,-0.0032920720297726,0.8461928394606912,0.8500015558125051,-0.0038087163518139,0.8844378949401662,0.8882876145045087,-0.0038497195643424,0.8086667324639445,0.8134535631072605,-0.0047868306433159,0.8185845341459236,0.8175893743455571,0.0009951598003664,0.7283002312497782,0.7285226208494473,-0.0002223895996691,93225.24324324324,97173.97297297296,99706.22972972972,99706.22972972972,False
ghosting_L3,ghosting,Ghosting,3,74,0.91246020016083,0.9087184602659087,0.0037417398949213,0.8461928394606912,0.8375886551651033,0.0086041842955879,0.8844378949401662,0.8876569407475812,-0.0032190458074149,0.8086667324639445,0.8122255808066554,-0.0035588483427109,0.8185845341459236,0.8266249762350237,-0.0080404420891001,0.7283002312497782,0.7366373897498523,-0.0083371585000741,93225.24324324324,99134.55405405404,99706.22972972972,99706.22972972972,False
ghosting_L4,ghosting,Ghosting,4,74,0.91246020016083,0.8919904407547026,0.0204697594061274,0.8461928394606912,0.8103178444314919,0.0358749950291993,0.8844378949401662,0.8836264776975634,0.0008114172426028,0.8086667324639445,0.8060166149831581,0.0026501174807863,0.8185845341459236,0.8309211667500191,-0.0123366326040955,0.7283002312497782,0.7386834195566258,-0.0103831883068475,93225.24324324324,102339.44594594596,99706.22972972972,99706.22972972972,False
ghosting_L5,ghosting,Ghosting,5,74,0.91246020016083,0.8603073097673931,0.0521528903934369,0.8461928394606912,0.7619667409342026,0.0842260985264886,0.8844378949401662,0.8710838134044268,0.0133540815357394,0.8086667324639445,0.7892834007756717,0.0193833316882727,0.8185845341459236,0.801636207504886,0.0169483266410376,0.7283002312497782,0.704963379640409,0.0233368516093691,93225.24324324324,108284.27027027028,99706.22972972972,99706.22972972972,False
ghosting_L6,ghosting,Ghosting,6,74,0.91246020016083,0.8058835907898683,0.1065766093709618,0.8461928394606912,0.6834627689023137,0.1627300705583775,0.8844378949401662,0.8368653998034449,0.0475724951367213,0.8086667324639445,0.7443631006387711,0.0643036318251734,0.8185845341459236,0.7658243120961811,0.0527602220497425,0.7283002312497782,0.6578487543634204,0.0704514768863577,93225.24324324324,119160.3918918919,99706.22972972972,99706.22972972972,True
ghosting_L7,ghosting,Ghosting,7,74,0.91246020016083,0.7191724840469511,0.1932877161138789,0.8461928394606912,0.5740081266281479,0.2721847128325433,0.8844378949401662,0.7644264172018711,0.1200114777382951,0.8086667324639445,0.6548614332798397,0.1538052991841048,0.8185845341459236,0.6627900135705027,0.1557945205754208,0.7283002312497782,0.5420832495222937,0.1862169817274844,93225.24324324324,136706.27027027027,99706.22972972972,99706.22972972972,True
ghosting_L8,ghosting,Ghosting,8,74,0.91246020016083,0.5965580629358125,0.3159021372250176,0.8461928394606912,0.4423826400517033,0.4038101994089879,0.8844378949401662,0.6163752296750961,0.2680626652650701,0.8086667324639445,0.4840440450415867,0.3246226874223578,0.8185845341459236,0.4889263315524259,0.3296582025934976,0.7283002312497782,0.3674804797465789,0.3608197515031993,93225.24324324324,162359.55405405405,99706.22972972972,99706.22972972972,True
ghosting_L9,ghosting,Ghosting,9,74,0.91246020016083,0.5380524087434012,0.3744077914174288,0.8461928394606912,0.3854458652296001,0.460746974231091,0.8844378949401662,0.4984238849339961,0.3860140100061701,0.8086667324639445,0.3620331955338344,0.4466335369301101,0.8185845341459236,0.3544823022991132,0.4641022318468103,0.7283002312497782,0.2497748467618233,0.4785253844879548,93225.24324324324,175702.7972972973,99706.22972972972,99706.22972972972,True
ghosting_L10,ghosting,Ghosting,10,74,0.91246020016083,0.4917890798128306,0.4206711203479994,0.8461928394606912,0.3435434891683829,0.5026493502923084,0.8844378949401662,0.3486702702525583,0.5357676246876079,0.8086667324639445,0.2308834404808397,0.5777832919831047,0.8185845341459236,0.2017000147651486,0.616884519380775,0.7283002312497782,0.1380375291755199,0.5902627020742582,93225.24324324324,181167.36486486485,99706.22972972972,99706.22972972972,True
