level,num_patients,dice_WT,dice_TC,dice_ET,model,artifact,drop_dice_WT,drop_dice_TC,drop_dice_ET
6,74,0.7473584842458548,0.6066521562905305,0.5701464977919427,Custom 3D U-Net,noise,0.01544651575414513,0.04641084370946946,0.01929050220805728
7,74,0.7219646331106577,0.5790223611227858,0.5533833303651654,Custom 3D U-Net,noise,0.04084036688934223,0.07404063887721413,0.036053669634834584
8,74,0.6461395910176252,0.5197433848502273,0.501395249638188,Custom 3D U-Net,noise,0.11666540898237476,0.13331961514977264,0.08804175036181194
9,74,0.5495079058151487,0.45843213166682834,0.4329847024247775,Custom 3D U-Net,noise,0.2132970941848512,0.1946308683331716,0.1564522975752225
10,74,0.44308075103329114,0.3936323190462788,0.34757361777937945,Custom 3D U-Net,noise,0.3197242489667088,0.2594306809537211,0.24186338222062054
1,74,0.7631208789505455,0.6566108745339678,0.594759790409574,Custom 3D U-Net,contrast,-0.00031587895054552284,-0.0035478745339678763,-0.005322790409574063
2,74,0.7631171226975751,0.6566076715342962,0.5947557550061884,Custom 3D U-Net,contrast,-0.00031212269757519007,-0.003544671534296273,-0.0053187550061883915
3,74,0.7631190973404437,0.6566101132979778,0.5947557983309604,Custom 3D U-Net,contrast,-0.00031409734044374193,-0.0035471132979778552,-0.005318798330960384
4,74,0.7631197239538674,0.656609826569196,0.5947584326777654,Custom 3D U-Net,contrast,-0.0003147239538674462,-0.0035468265691960266,-0.005321432677765414
5,74,0.7631186451072256,0.6566123907653216,0.5947607503640198,Custom 3D U-Net,contrast,-0.0003136451072256463,-0.0035493907653216805,-0.005323750364019775
6,74,0.7631213828255377,0.656610237871672,0.594759841345922,Custom 3D U-Net,contrast,-0.0003163828255376977,-0.0035472378716721042,-0.00532284134592198
7,74,0.76311988325895,0.656608883364303,0.5947605610044011,Custom 3D U-Net,contrast,-0.0003148832589500161,-0.0035458833643030596,-0.005323561004401123
8,74,0.7631180751244758,0.6566087641990904,0.5947603241217742,Custom 3D U-Net,contrast,-0.00031307512447587005,-0.003545764199090473,-0.0053233241217741645
9,74,0.7631195517769157,0.6566084142028261,0.5947556986603468,Custom 3D U-Net,contrast,-0.0003145517769157502,-0.0035454142028261693,-0.005318698660346843
10,74,0.7631186734370886,0.6566078317093587,0.5947559933069725,Custom 3D U-Net,contrast,-0.00031367343708865736,-0.003544831709358709,-0.005318993306972497
1,74,0.764650146935151,0.6578739287550491,0.5951438941594557,Custom 3D U-Net,frequency_truncation,-0.001845146935151032,-0.004810928755049182,-0.005706894159455689
2,74,0.7648227306983685,0.6582815252016732,0.595051138155944,Custom 3D U-Net,frequency_truncation,-0.002017730698368525,-0.0052185252016732075,-0.005614138155944026
3,74,0.7641560024332819,0.6581233015581598,0.594444781546505,Custom 3D U-Net,frequency_truncation,-0.0013510024332819004,-0.005060301558159841,-0.005007781546505052
4,74,0.7622944347378049,0.6569111478537664,0.5925031840665055,Custom 3D U-Net,frequency_truncation,0.0005105652621950618,-0.003848147853766415,-0.003066184066505495
5,74,0.7583422124253785,0.6533946296948107,0.5869663255777083,Custom 3D U-Net,frequency_truncation,0.004462787574621485,-0.0003316296948107089,0.002470674422291652
6,74,0.7498009652707246,0.6454140579112735,0.5752282105029753,Custom 3D U-Net,frequency_truncation,0.01300403472927536,0.0076489420887264625,0.014208789497024643
7,74,0.7290315007665806,0.6234302962838771,0.5485152494251211,Custom 3D U-Net,frequency_truncation,0.033773499233419324,0.02963270371612281,0.0409217505748789
8,74,0.6549033079021348,0.55416263893371,0.4821256667188655,Custom 3D U-Net,frequency_truncation,0.10790169209786515,0.09890036106628997,0.10731133328113451
9,74,0.5704967956264614,0.48343900832762343,0.40903778977829713,Custom 3D U-Net,frequency_truncation,0.19230820437353857,0.16962399167237652,0.18039921022170285
10,74,0.41928887375779406,0.3271788583955946,0.25539797557683613,Custom 3D U-Net,frequency_truncation,0.3435161262422059,0.3258841416044054,0.33403902442316386
1,74,0.9172153549411838,0.8865009372364733,0.8170689073826946,nnU-Net v2,blur,-0.0047551547803537,-0.002063042296307,0.001515626763229
2,74,0.9162473719241698,0.8839730189419139,0.8025664784308587,nnU-Net v2,blur,-0.0037871717633397,0.0004648759982522,0.0160180557150648
3,74,0.9096603900335348,0.8687409271561098,0.7953020430208235,nnU-Net v2,blur,0.0027998101272952,0.0156969677840563,0.0232824911251
4,74,0.895324971808355,0.8426619288625179,0.7545580193139932,nnU-Net v2,blur,0.017135228352475,0.0417759660776483,0.0640265148319303
5,74,0.8770443171235708,0.8183672875681707,0.7180374318998632,nnU-Net v2,blur,0.0354158830372592,0.0660706073719955,0.1005471022460603
6,74,0.8527691149049861,0.7878684642076594,0.6828540402473646,nnU-Net v2,blur,0.0596910852558439,0.0965694307325067,0.1357304938985589
7,74,0.8301412219237411,0.7599386794086518,0.6418389528715708,nnU-Net v2,blur,0.082318978237089,0.1244992155315144,0.1767455812743528
8,74,0.8086202653460071,0.7286422657414584,0.6040310195993547,nnU-Net v2,blur,0.103839934814823,0.1557956291987078,0.2145535145465689
9,74,0.788737483347234,0.6994522857181537,0.5713327098139259,nnU-Net v2,blur,0.123722716813596,0.1849856092220125,0.2472518243319976
10,74,0.7682253434912977,0.6747261183254317,0.5465031453097307,nnU-Net v2,blur,0.1442348566695324,0.2097117766147345,0.2720813888361929
1,74,0.9175459716167929,0.886979212874633,0.818007533951235,nnU-Net v2,ghosting,-0.0050857714559626,-0.0025413179344667,0.0005770001946885
2,74,0.9157522721906028,0.8882876145045087,0.8175893743455571,nnU-Net v2,ghosting,-0.0032920720297726,-0.0038497195643424,0.0009951598003664
3,74,0.9087184602659087,0.8876569407475812,0.8266249762350237,nnU-Net v2,ghosting,0.0037417398949213,-0.0032190458074149,-0.0080404420891001
4,74,0.8919904407547026,0.8836264776975634,0.8309211667500191,nnU-Net v2,ghosting,0.0204697594061274,0.0008114172426028,-0.0123366326040955
5,74,0.8603073097673931,0.8710838134044268,0.801636207504886,nnU-Net v2,ghosting,0.0521528903934369,0.0133540815357394,0.0169483266410376
6,74,0.8058835907898683,0.8368653998034449,0.7658243120961811,nnU-Net v2,ghosting,0.1065766093709618,0.0475724951367213,0.0527602220497425
7,74,0.7191724840469511,0.7644264172018711,0.6627900135705027,nnU-Net v2,ghosting,0.1932877161138789,0.1200114777382951,0.1557945205754208
8,74,0.5965580629358125,0.6163752296750961,0.4889263315524259,nnU-Net v2,ghosting,0.3159021372250176,0.2680626652650701,0.3296582025934976
9,74,0.5380524087434012,0.4984238849339961,0.3544823022991132,nnU-Net v2,ghosting,0.3744077914174288,0.3860140100061701,0.4641022318468103
10,74,0.4917890798128306,0.3486702702525583,0.2017000147651486,nnU-Net v2,ghosting,0.4206711203479994,0.5357676246876079,0.616884519380775
1,74,0.9162021965489728,0.8854092610952445,0.8164943017001602,nnU-Net v2,noise,-0.0037419963881427,-0.0009713661550783,0.0020902324457633
2,74,0.9157511462599311,0.8845463420004023,0.8141444379262932,nnU-Net v2,noise,-0.0032909460991011,-0.000108447060236,0.0044400962196303
3,74,0.9148504330852584,0.8828456511605701,0.797899896829622,nnU-Net v2,noise,-0.0023902329244283,0.0015922437795961,0.0206846373163015
4,74,0.9135228781102582,0.8810147107844586,0.8077444308915527,nnU-Net v2,noise,-0.0010626779494281,0.0034231841557076,0.0108401032543709
5,74,0.91191930624874,0.8792008915895833,0.8041269525091931,nnU-Net v2,noise,0.00054089391209,0.0052370033505829,0.0144575816367304
6,74,0.9084560438025978,0.8778922952761608,0.7834036048598658,nnU-Net v2,noise,0.0040041563582321,0.0065455996640054,0.0351809292860577
7,74,0.901036803780595,0.8722226486177941,0.8014366047338017,nnU-Net v2,noise,0.0114233963802349,0.0122152463223721,0.0171479294121218
8,74,0.884599924610097,0.8591973541118606,0.7962446127565176,nnU-Net v2,noise,0.027860275550733,0.0252405408283056,0.0223399213894059
9,74,0.863851740665287,0.8421210854047912,0.762979352617971,nnU-Net v2,noise,0.0486084594955429,0.0423168095353749,0.0556051815279525
10,74,0.8362798843857316,0.8195473196912012,0.7187680348103048,nnU-Net v2,noise,0.0761803157750983,0.064890575248965,0.0998164993356187
1,74,0.9161109356781754,0.8856414874397713,0.817486143289361,nnU-Net v2,contrast,-0.0036507355173452,-0.0012035924996051,0.0010983908565626
2,74,0.9161164794183684,0.8856843253864521,0.8174144599460528,nnU-Net v2,contrast,-0.0036562792575383,-0.0012464304462859,0.0011700741998708
3,74,0.9161555176066396,0.8856502090205804,0.8172291976483914,nnU-Net v2,contrast,-0.0036953174458096,-0.0012123140804142,0.0013553364975321
4,74,0.916242963136376,0.8855059516871127,0.8168348608136831,nnU-Net v2,contrast,-0.0037827629755458,-0.0010680567469464,0.0017496733322405
5,74,0.9164029102761604,0.884883262189794,0.8158265109132601,nnU-Net v2,contrast,-0.0039427101153303,-0.0004453672496277,0.0027580232326634
6,74,0.9186920684371096,0.8878409981701407,0.7904438139287628,nnU-Net v2,contrast,-0.0062318682762796,-0.0034031032299745,0.0281407202171607
7,74,0.9189277630243962,0.887599899686972,0.7897910134681112,nnU-Net v2,contrast,-0.0064675628635662,-0.0031620047468057,0.0287935206778123
8,74,0.9190078190242827,0.8864288463831771,0.7877181043585064,nnU-Net v2,contrast,-0.0065476188634527,-0.0019909514430108,0.0308664297874171
9,74,0.91740252507329,0.876093767865492,0.7602152670976886,nnU-Net v2,contrast,-0.00494232491246,0.0083441270746742,0.0583692670482349
10,74,0.9124998122252348,0.8583819292381878,0.7651234675609981,nnU-Net v2,contrast,-3.9612064404837e-05,0.0260559657019784,0.0534610665849254
1,74,0.9162951140111424,0.8859947594668834,0.8170939672124324,nnU-Net v2,frequency_truncation,-0.0038349138503124,-0.0015568645267172,0.0014905669334911
2,74,0.9162294106233406,0.8861001114584424,0.8164481819760856,nnU-Net v2,frequency_truncation,-0.0037692104625105,-0.0016622165182761,0.0021363521698379
3,74,0.9158906553461346,0.8859104855783699,0.8016041965174762,nnU-Net v2,frequency_truncation,-0.0034304551853044,-0.0014725906382037,0.0169803376284474
4,74,0.9153089624161336,0.885373876558343,0.7854624341530946,nnU-Net v2,frequency_truncation,-0.0028487622553036,-0.0009359816181767,0.033122099992829
5,74,0.91405164500934,0.883886176261728,0.7798974938800359,nnU-Net v2,frequency_truncation,-0.00159144484851,0.0005517186784381,0.0386870402658876
6,74,0.9131177024930712,0.881561671103364,0.7806782109655718,nnU-Net v2,frequency_truncation,-0.0006575023322412,0.0028762238368021,0.0379063231803518
7,74,0.907876480237668,0.8616671591246561,0.7765428947357796,nnU-Net v2,frequency_truncation,0.0045837199231619,0.0227707358155101,0.0420416394101439
8,74,0.8800325293489256,0.816340203388948,0.6942418063920979,nnU-Net v2,frequency_truncation,0.0324276708119043,0.0680976915512182,0.1243427277538257
9,74,0.8259554059058063,0.7528590002317972,0.588726794712106,nnU-Net v2,frequency_truncation,0.0865047942550236,0.131578894708369,0.2298577394338176
10,74,0.624263276257373,0.5352897238188047,0.336403948385332,nnU-Net v2,frequency_truncation,0.2881969239034569,0.3491481711213615,0.4821805857605916
1,74,0.8868139069145576,0.8386384143546031,0.7271192963276024,Swin-UNETR,blur,0.0093372549872871,0.008319344947191,0.0145841225648289
2,74,0.8421999249741082,0.8024302534607342,0.6858135891948262,Swin-UNETR,blur,0.0539512369277366,0.0445275058410599,0.0558898296976051
3,74,0.7980560876445262,0.7563323450071004,0.6450163280354643,Swin-UNETR,blur,0.0980950742573186,0.0906254142946936,0.0966870908569671
4,74,0.7629928793049223,0.7177044613760977,0.6125575698558976,Swin-UNETR,blur,0.1331582825969225,0.1292532979256964,0.1291458490365337
5,74,0.7323845768283637,0.6823324056295956,0.5871281478634561,Swin-UNETR,blur,0.1637665850734813,0.1646253536721983,0.1545752710289753
6,74,0.7036935262517132,0.652309939770927,0.5659490799570845,Swin-UNETR,blur,0.1924576356501316,0.194647819530867,0.1757543389353467
7,74,0.6742465177053227,0.6194184743093686,0.5465313026874845,Swin-UNETR,blur,0.2219046441965221,0.2275392849924254,0.1951721162049469
8,74,0.6447698154957686,0.5844718751972009,0.5261306434682181,Swin-UNETR,blur,0.2513813464060764,0.2624858841045931,0.2155727754242132
9,74,0.6181015439526536,0.5514359528840118,0.5043472068328245,Swin-UNETR,blur,0.2780496179491914,0.2955218064177823,0.2373562120596068
10,74,0.5937566335978335,0.5224513260965724,0.4818288102670882,Swin-UNETR,blur,0.3023945283040114,0.3245064332052217,0.2598746086253432
1,74,0.8902314492832974,0.8452188385385094,0.739585815080927,Swin-UNETR,ghosting,0.0059197126185475,0.0017389207632847,0.0021176038115043
2,74,0.8794924145402089,0.8423680969304174,0.7395086254747139,Swin-UNETR,ghosting,0.0166587473616362,0.0045896623713767,0.0021947934177174
3,74,0.8574786992583123,0.8329741572502798,0.7353442512234079,Swin-UNETR,ghosting,0.0386724626435326,0.0139836020515142,0.0063591676690234
4,74,0.8125851908481325,0.8107880316611709,0.7219120185488886,Swin-UNETR,ghosting,0.0835659710537123,0.0361697276406232,0.0197914003435426
5,74,0.7381454067222839,0.7628322234199743,0.6844686903913428,Swin-UNETR,ghosting,0.158005755179561,0.0841255358818198,0.0572347285010885
6,74,0.6351593720873785,0.6446644617908478,0.5761296808715438,Swin-UNETR,ghosting,0.2609917898144665,0.2022932975109463,0.1655737380208876
7,74,0.5313322306641849,0.4879044006473142,0.4147272711079882,Swin-UNETR,ghosting,0.36481893123766,0.3590533586544799,0.3269761477844431
8,74,0.4569523538062582,0.3732681476124377,0.2921695827924164,Swin-UNETR,ghosting,0.4391988080955865,0.4736896116893563,0.449533836100015
9,74,0.4269659422777231,0.3208381816512375,0.2355055100887214,Swin-UNETR,ghosting,0.4691852196241218,0.5261195776505564,0.50619790880371
10,74,0.4028003035483289,0.2734966771955529,0.1844242228036567,Swin-UNETR,ghosting,0.4933508583535159,0.5734610821062412,0.5572791960887747
1,74,0.8958709164081622,0.846042478585003,0.7398458230539262,Swin-UNETR,noise,0.0002802454936828,0.0009152807167911,0.0018575958385052
2,74,0.8954668107627176,0.845857589947095,0.7395992224480669,Swin-UNETR,noise,0.0006843511391272,0.001100169354699,0.0021041964443645
3,74,0.8925024276145761,0.8444229690325457,0.7383994691598538,Swin-UNETR,noise,0.0036487342872687,0.0025347902692484,0.0033039497325776
4,74,0.8861459453228601,0.8443969040315944,0.7373030128258836,Swin-UNETR,noise,0.0100052165789847,0.0025608552701997,0.0044004060665477
5,74,0.8753283075858026,0.8412916898174273,0.7338480112522873,Swin-UNETR,noise,0.0208228543160423,0.0056660694843668,0.0078554076401441
6,74,0.8185873481954414,0.8305754057422323,0.7174849609288031,Swin-UNETR,noise,0.0775638137064034,0.0163823535595617,0.0242184579636282
7,74,0.7270331053565005,0.7882468499466145,0.6786418772898507,Swin-UNETR,noise,0.1691180565453445,0.0587109093551795,0.0630615416025806
8,74,0.4679343528578679,0.5978385432261166,0.5175184686928369,Swin-UNETR,noise,0.4282168090439769,0.2491192160756774,0.2241849501995944
9,74,0.1747601447975622,0.2765259858536893,0.2405088323028576,Swin-UNETR,noise,0.7213910171042828,0.5704317734481048,0.5011945865895736
