artifact,report_artifact,level,condition,parameters,degradation_pipeline,num_patients,dice_WT_mean,dice_WT_sd,dice_WT_drop_mean,dice_WT_drop_sd,iou_WT_mean,iou_WT_sd,iou_WT_drop_mean,iou_WT_drop_sd,dice_TC_mean,dice_TC_sd,dice_TC_drop_mean,dice_TC_drop_sd,iou_TC_mean,iou_TC_sd,iou_TC_drop_mean,iou_TC_drop_sd,dice_ET_mean,dice_ET_sd,dice_ET_drop_mean,dice_ET_drop_sd,iou_ET_mean,iou_ET_sd,iou_ET_drop_mean,iou_ET_drop_sd,pred_WT_voxels_mean,true_WT_voxels_mean,pred_WT_voxels_change_mean,inference_seconds_mean,degradation_seconds_mean,mse_mean,mse_std,mse_median,psnr_mean,psnr_std,psnr_median,n_measurements,n_patients,dice_threshold_crossed,iou_threshold_crossed,break_threshold_crossed
ghosting,Ghosting,1,ghosting_L1,"{""intensity"": 0.15, ""num_repeats"": 4}",script26a_restored_original_range,74,0.8902314492832974,0.0722032366180307,0.0059197126185475,0.0310132053060574,0.8090745557601378,0.1078594959809463,0.00948187877022,0.0424107863150048,0.8452188385385094,0.1421723515446586,0.0017389207632847,0.04586123863004,0.753606469515808,0.1801780435555141,0.0026603057207462,0.0524559385686702,0.739585815080927,0.2622907965371873,0.0021176038115043,0.0248174409305094,0.6398718191924762,0.2629849340609899,0.0039212964647146,0.0291697513310243,102061.7972972973,99706.22972972972,4380.364864864865,3.0106552157651736,1.1835399352869875,0.0013730063212672,0.0004994941794226,0.0012573208659887,28.916297312407018,1.6140391182069962,29.005541152639445,296,74,False,False,False
ghosting,Ghosting,2,ghosting_L2,"{""intensity"": 0.25, ""num_repeats"": 8}",script26a_restored_original_range,74,0.8794924145402089,0.08083315741573,0.0166587473616362,0.0502462738530584,0.7931519688729692,0.1163378257304561,0.0254044656573886,0.0657630032913792,0.8423680969304174,0.1391622071342779,0.0045896623713767,0.0473861176705848,0.7485346424212022,0.1774925279465273,0.0077321328153522,0.0563633216237994,0.7395086254747139,0.2599337909836646,0.0021947934177174,0.0318838488614563,0.6385684190229821,0.2594255540291265,0.0052246966342088,0.0359426765009965,104979.5945945946,99706.22972972972,7298.162162162162,3.105118368374737,1.3957450147214774,0.0039967406235125,0.0014448633795121,0.0036774188047274,24.27251604896384,1.6048191194497476,24.34457399182403,296,74,False,False,False
ghosting,Ghosting,3,ghosting_L3,"{""intensity"": 0.35, ""num_repeats"": 12}",script26a_restored_original_range,74,0.8574786992583123,0.0994013095307906,0.0386724626435326,0.0762546360678554,0.7618750580489686,0.1331745543154774,0.0566813764813892,0.0954826673648979,0.8329741572502798,0.141610494304284,0.0139836020515142,0.0573569886145777,0.7350909178871712,0.1796157172601139,0.0211758573493831,0.0697346471192178,0.7353442512234079,0.2580395496628201,0.0063591676690234,0.0480540145061595,0.6319428786521053,0.2550907863450995,0.0118502370050856,0.052199562451182,109919.85135135136,99706.22972972972,12238.418918918918,3.0744091386126504,1.6119987935935325,0.0079475952740255,0.0028718842450592,0.0073067510966211,21.286958272391377,1.6040571907407273,21.36275692760957,296,74,False,False,False
ghosting,Ghosting,4,ghosting_L4,"{""intensity"": 0.45, ""num_repeats"": 16}",script26a_restored_original_range,74,0.8125851908481325,0.122811614901656,0.0835659710537123,0.1042349050020506,0.6994258195886726,0.1493133506322201,0.1191306149416852,0.1221537877563529,0.8107880316611709,0.1539813283269814,0.0361697276406232,0.0825796526307875,0.7057316015959867,0.1891299577178209,0.0505351736405674,0.0991939487058039,0.7219120185488886,0.2575159309236177,0.0197914003435426,0.0655425847890933,0.6138437075648039,0.2505490000140282,0.0299494080923869,0.0736465861982119,119870.9054054054,99706.22972972972,22189.472972972973,3.086469696104728,1.8105340882934429,0.0133234554920597,0.0048176403759751,0.012271970976144,19.04351880289593,1.6050266470814023,19.11085815985585,296,74,False,False,False
ghosting,Ghosting,5,ghosting_L5,"{""intensity"": 0.55, ""num_repeats"": 20}",script26a_restored_original_range,74,0.7381454067222839,0.1449226478587881,0.158005755179561,0.1272763119678144,0.6027376063886604,0.1587126305595636,0.2158188281416975,0.1374857767714593,0.7628322234199743,0.1684090169819639,0.0841255358818198,0.1150447949779858,0.6428214987498434,0.1972755104600068,0.1134452764867108,0.1375696976874361,0.6844686903913428,0.2542589912910399,0.0572347285010885,0.089364828804919,0.565604731559021,0.2414273867924516,0.0781883840981698,0.1063325009510689,138781.93243243243,99706.22972972972,41100.5,3.0512878359672992,2.024655407772878,0.0201968617148923,0.0073261469325398,0.0185754839330911,17.238633125254196,1.609822138468313,17.310604949690898,296,74,True,True,True
ghosting,Ghosting,6,ghosting_L6,"{""intensity"": 0.65, ""num_repeats"": 24}",script26a_restored_original_range,74,0.6351593720873785,0.1683480478105491,0.2609917898144665,0.1488591140800852,0.4852043839691844,0.1647441476005721,0.3333520505611735,0.1446989013199086,0.6446644617908478,0.2009321963809514,0.2022932975109463,0.169659537285312,0.5060745669337495,0.2101940795376864,0.2501922083028047,0.1849614640656844,0.5761296808715438,0.2511331997854688,0.1655737380208876,0.1406960605533405,0.4433720776895785,0.22612637821175,0.2004210379676125,0.156302918838719,171584.54054054053,99706.22972972972,73903.1081081081,3.025700958068105,2.287851001765277,0.0279148006906128,0.0100897546525857,0.0257164817303419,15.831136627794804,1.604494795232314,15.897886729278436,296,74,True,True,True
ghosting,Ghosting,7,ghosting_L7,"{""intensity"": 0.75, ""num_repeats"": 28}",script26a_restored_original_range,74,0.5313322306641849,0.1917015714699985,0.36481893123766,0.1697642888236792,0.3830427836467477,0.1667084466124462,0.4355136508836102,0.1470613411756734,0.4879044006473142,0.2242911326952906,0.3590533586544799,0.2065211765677738,0.3509182867785365,0.1951404738967511,0.4053484884580177,0.1967184856795229,0.4147272711079882,0.2393765522641561,0.3269761477844431,0.191649232615036,0.2898755958541875,0.191724487256331,0.3539175198030033,0.1901197602946815,215379.85135135136,99706.22972972972,117698.41891891892,3.01025307626539,2.448024376471703,0.0372226469885759,0.0134570672116942,0.0342947896569967,14.581543737132014,1.6048660569431894,14.64772184038764,296,74,True,True,True
ghosting,Ghosting,8,ghosting_L8,"{""intensity"": 0.85, ""num_repeats"": 32}",script26a_restored_original_range,74,0.4569523538062582,0.1894061744371091,0.4391988080955865,0.1671309400506503,0.3146090280792379,0.1537294029313916,0.50394740645112,0.1377116979636595,0.3732681476124377,0.2053066861737573,0.4736896116893563,0.1979454429100936,0.248874650598504,0.1572443689359931,0.5073921246380501,0.1857429374508812,0.2921695827924164,0.199879329053423,0.449533836100015,0.1987272781369809,0.1872092688876915,0.1405254285235357,0.4565838467694993,0.2017058486667799,257172.43243243243,99706.22972972972,159491.0,2.95423159954717,2.7049255593352624,0.047893251786386,0.01731240023687,0.0441380720585584,13.48679436383372,1.6046505635885966,13.551869451541265,296,74,True,True,True
ghosting,Ghosting,9,ghosting_L9,"{""intensity"": 0.9, ""num_repeats"": 36}",script26a_restored_original_range,74,0.4269659422777231,0.1858055546673461,0.4691852196241218,0.1640315281960819,0.2884047884363625,0.1467398519114824,0.5301516460939955,0.1332535488696872,0.3208381816512375,0.1922827768642987,0.5261195776505564,0.1873741280556758,0.2067356772851556,0.1396813633605233,0.5495310979513987,0.179497051642677,0.2355055100887214,0.1766957980066903,0.50619790880371,0.20314624841825,0.1450926822544989,0.1182526166742903,0.4987004334026919,0.2112581275957666,273314.97297297296,99706.22972972972,175633.54054054053,2.9501246907622427,2.901488597404111,0.053832670717777,0.0194560541162993,0.0496213678270578,12.97898399530985,1.6043944891669466,13.043315792786808,296,74,True,True,True
ghosting,Ghosting,10,ghosting_L10,"{""intensity"": 0.95, ""num_repeats"": 40}",script26a_restored_original_range,74,0.4028003035483289,0.1821345149307457,0.4933508583535159,0.1610449492463187,0.267898198132952,0.1405646154690524,0.5506582363974057,0.1296332283374878,0.2734966771955529,0.1798150055851215,0.5734610821062412,0.1814969130570932,0.1712458797825692,0.1257433704576344,0.5850208954539851,0.1782124437964907,0.1844242228036567,0.1544456194670573,0.5572791960887747,0.2130361653522497,0.1099420497454538,0.1001757586408234,0.533851065911737,0.2230837221646008,283178.8108108108,99706.22972972972,185497.3783783784,2.882821578129723,3.1400165296084173,0.0598503777039916,0.0216460346855693,0.0551710110157728,12.519153117794566,1.605396233707367,12.58289514539749,296,74,True,True,True
