artifact,report_artifact,level,condition,parameters,degradation_pipeline,num_patients,dice_WT_mean,dice_WT_sd,dice_WT_drop_mean,dice_WT_drop_sd,iou_WT_mean,iou_WT_sd,iou_WT_drop_mean,iou_WT_drop_sd,dice_TC_mean,dice_TC_sd,dice_TC_drop_mean,dice_TC_drop_sd,iou_TC_mean,iou_TC_sd,iou_TC_drop_mean,iou_TC_drop_sd,dice_ET_mean,dice_ET_sd,dice_ET_drop_mean,dice_ET_drop_sd,iou_ET_mean,iou_ET_sd,iou_ET_drop_mean,iou_ET_drop_sd,pred_WT_voxels_mean,true_WT_voxels_mean,pred_WT_voxels_change_mean,inference_seconds_mean,degradation_seconds_mean
ghosting,Ghosting,4,ghosting_L4,"{""intensity"": 0.45, ""num_repeats"": 16}",script26a_restored_original_range,74,0.8125851908481325,0.12281161490165605,0.0835659710537123,0.10423490500205063,0.6994258195886726,0.14931335063222015,0.11913061494168527,0.12215378775635292,0.8107880316611709,0.1539813283269814,0.03616972764062325,0.08257965263078751,0.7057316015959867,0.18912995771782096,0.05053517364056748,0.09919394870580396,0.7219120185488886,0.25751593092361774,0.019791400343542605,0.06554258478909332,0.6138437075648039,0.25054900001402824,0.02994940809238692,0.07364658619821192,119870.9054054054,99706.22972972973,22189.472972972973,3.0864696961047278,1.8105340882934429
ghosting,Ghosting,5,ghosting_L5,"{""intensity"": 0.55, ""num_repeats"": 20}",script26a_restored_original_range,74,0.7381454067222839,0.1449226478587881,0.158005755179561,0.12727631196781442,0.6027376063886604,0.15871263055956367,0.21581882814169756,0.13748577677145937,0.7628322234199743,0.16840901698196392,0.08412553588181981,0.11504479497798582,0.6428214987498434,0.19727551046000685,0.11344527648671084,0.1375696976874361,0.6844686903913428,0.2542589912910399,0.05723472850108855,0.08936482880491904,0.565604731559021,0.24142738679245168,0.07818838409816989,0.1063325009510689,138781.93243243243,99706.22972972973,41100.5,3.0512878359672992,2.024655407772878
ghosting,Ghosting,6,ghosting_L6,"{""intensity"": 0.65, ""num_repeats"": 24}",script26a_restored_original_range,74,0.6351593720873785,0.16834804781054913,0.2609917898144665,0.14885911408008523,0.4852043839691844,0.16474414760057213,0.33335205056117356,0.14469890131990865,0.6446644617908478,0.20093219638095147,0.20229329751094632,0.16965953728531202,0.5060745669337495,0.21019407953768646,0.25019220830280475,0.18496146406568442,0.5761296808715438,0.25113319978546883,0.1655737380208876,0.14069606055334052,0.4433720776895785,0.22612637821175,0.2004210379676125,0.15630291883871902,171584.54054054053,99706.22972972973,73903.1081081081,3.025700958068105,2.287851001765277
ghosting,Ghosting,7,ghosting_L7,"{""intensity"": 0.75, ""num_repeats"": 28}",script26a_restored_original_range,74,0.5313322306641849,0.19170157146999853,0.36481893123766,0.16976428882367925,0.3830427836467477,0.16670844661244624,0.4355136508836102,0.14706134117567343,0.4879044006473142,0.22429113269529066,0.35905335865447996,0.20652117656777386,0.3509182867785365,0.19514047389675115,0.40534848845801774,0.1967184856795229,0.41472727110798824,0.23937655226415616,0.32697614778444317,0.19164923261503602,0.28987559585418754,0.19172448725633107,0.3539175198030033,0.19011976029468153,215379.85135135136,99706.22972972973,117698.41891891892,3.01025307626539,2.448024376471703
ghosting,Ghosting,8,ghosting_L8,"{""intensity"": 0.85, ""num_repeats"": 32}",script26a_restored_original_range,74,0.4569523538062582,0.1894061744371091,0.4391988080955865,0.16713094005065038,0.3146090280792379,0.1537294029313916,0.50394740645112,0.13771169796365956,0.3732681476124377,0.20530668617375733,0.47368961168935636,0.19794544291009364,0.24887465059850405,0.1572443689359931,0.5073921246380501,0.18574293745088122,0.2921695827924164,0.199879329053423,0.44953383610001507,0.1987272781369809,0.18720926888769154,0.14052542852353575,0.45658384676949937,0.20170584866677999,257172.43243243243,99706.22972972973,159491.0,2.95423159954717,2.7049255593352624
ghosting,Ghosting,9,ghosting_L9,"{""intensity"": 0.9, ""num_repeats"": 36}",script26a_restored_original_range,74,0.4269659422777231,0.18580555466734613,0.4691852196241218,0.1640315281960819,0.2884047884363625,0.14673985191148248,0.5301516460939955,0.1332535488696872,0.32083818165123756,0.19228277686429876,0.5261195776505564,0.18737412805567588,0.20673567728515563,0.13968136336052336,0.5495310979513987,0.17949705164267704,0.2355055100887214,0.1766957980066903,0.50619790880371,0.20314624841825002,0.14509268225449895,0.11825261667429035,0.4987004334026919,0.2112581275957666,273314.97297297296,99706.22972972973,175633.54054054053,2.9501246907622427,2.901488597404111
ghosting,Ghosting,10,ghosting_L10,"{""intensity"": 0.95, ""num_repeats"": 40}",script26a_restored_original_range,74,0.4028003035483289,0.18213451493074576,0.49335085835351594,0.16104494924631874,0.26789819813295207,0.14056461546905244,0.5506582363974057,0.1296332283374878,0.2734966771955529,0.1798150055851215,0.5734610821062412,0.18149691305709328,0.17124587978256925,0.12574337045763442,0.5850208954539851,0.17821244379649076,0.18442422280365675,0.15444561946705734,0.5572791960887747,0.2130361653522497,0.10994204974545382,0.10017575864082344,0.533851065911737,0.22308372216460082,283178.8108108108,99706.22972972973,185497.37837837837,2.882821578129723,3.1400165296084173
noise,Gaussian noise,1,noise_L1,"{""std"": 0.02}",script26a_restored_original_range,74,0.8958709164081622,0.06800140742955864,0.0002802454936828456,0.012155313413440373,0.8175375043702849,0.10190713677551555,0.0010189301600729576,0.017176250220903876,0.846042478585003,0.14522472757061103,0.0009152807167911365,0.040852348099039884,0.7557059571418984,0.1832979083040103,0.0005608180946559359,0.04713079687223051,0.7398458230539262,0.26378449634118745,0.001857595838505243,0.021115848530194378,0.6409707340639031,0.26519585157712905,0.002822381593287783,0.024631189316297344,98760.48648648648,99706.22972972973,1079.054054054054,2.7622233715814515,1.4460347860145408
noise,Gaussian noise,2,noise_L2,"{""std"": 0.04}",script26a_restored_original_range,74,0.8954668107627176,0.06798255980059593,0.0006843511391272673,0.009088965760439606,0.8168204299040198,0.10114417613986097,0.001736004626337991,0.01322001919823086,0.845857589947095,0.14544203200766884,0.001100169354699062,0.04137445572964819,0.755496828127487,0.1835478444028974,0.00076994710906733,0.04762004827677607,0.7395992224480669,0.2625730549480656,0.0021041964443645764,0.01989208908792931,0.6401043288078315,0.26373508028793824,0.0036887868493594186,0.023572895467896274,96725.06756756757,99706.22972972973,-956.3648648648649,2.773920481068057,1.42337231390883
noise,Gaussian noise,3,noise_L3,"{""std"": 0.06}",script26a_restored_original_range,74,0.8925024276145761,0.0701289090033084,0.0036487342872687585,0.013343516964719925,0.8122735269755271,0.1031525253535003,0.006282907554830794,0.02024943399249787,0.8444229690325457,0.14702311467354215,0.0025347902692484893,0.039025111585402374,0.7537021766269595,0.18462582620713794,0.002564598609594807,0.04534820087119947,0.7383994691598538,0.2611556845438435,0.003303949732577601,0.01957903267495901,0.6378591356339857,0.26176292473903573,0.0059339800232051515,0.022268114816636795,94102.36486486487,99706.22972972973,-3579.0675675675675,2.792684914493883,1.4359107719532944
