experiment,artifact,artifact_display,level,condition,mse_mean,mse_std,mse_median,psnr_mean,psnr_std,psnr_median,n_measurements,n_patients
extended_L6_L10,contrast,Contrast,7,contrast_L7,0.02614357100950705,0.007680049069614914,0.02520847413688898,16.015599128117614,1.296951923212936,15.98453455167681,296,74
extended_L6_L10,contrast,Contrast,8,contrast_L8,0.02930981427355594,0.008610270303494214,0.028261427767574787,15.519120820420303,1.2969618680829686,15.488059153063874,296,74
extended_L6_L10,contrast,Contrast,9,contrast_L9,0.03265699276046173,0.009593657983971977,0.03148879110813141,15.049492726307227,1.296971585396929,15.01844026065789,296,74
extended_L6_L10,contrast,Contrast,10,contrast_L10,0.03475214478975112,0.010209204695131537,0.033508945256471634,14.77944004158791,1.2969762212019522,14.748392558390956,296,74
original_L1_L5,ringing,Frequency-domain truncation,1,ringing_L1,0.0003418561236439682,0.00017842027271522084,0.00030168212833814323,35.28831250580274,2.4760358688215325,35.20451979124273,296,74
original_L1_L5,ringing,Frequency-domain truncation,2,ringing_L2,0.000641625737370231,0.00033299221254491174,0.0005880426615476608,32.531174560682445,2.408699703134331,32.30591208653881,296,74
original_L1_L5,ringing,Frequency-domain truncation,3,ringing_L3,0.0010576432850447836,0.0005324429159944684,0.0009799502440728247,30.32103175277614,2.3128329993220045,30.087972978245595,296,74
original_L1_L5,ringing,Frequency-domain truncation,4,ringing_L4,0.001643847195048914,0.0007920279158011686,0.0015269419527612627,28.364507618286865,2.2270637569899123,28.161790631417936,296,74
original_L1_L5,ringing,Frequency-domain truncation,5,ringing_L5,0.0025125493795368696,0.0011520000988390067,0.002345839166082442,26.48085800313618,2.143540977043318,26.297020960121852,296,74
extended_L6_L10,ringing,Frequency-domain truncation,6,ringing_L6,0.0038155231117884426,0.0016443759833951722,0.0035844953963533044,24.618626109836907,2.0411003370989746,24.45572423990214,296,74
extended_L6_L10,ringing,Frequency-domain truncation,7,ringing_L7,0.006202564838679029,0.0024189272203088644,0.005957279121503234,22.444597285559986,1.9011963828432015,22.249520510538822,296,74
extended_L6_L10,ringing,Frequency-domain truncation,8,ringing_L8,0.011445747389901756,0.004017477225239494,0.011191028635948896,19.725248926564987,1.7559783449756063,19.511299935534396,296,74
extended_L6_L10,ringing,Frequency-domain truncation,9,ringing_L9,0.016442111267777462,0.005502671421806695,0.015888435766100883,18.116291364471117,1.6377634072899698,17.98919064239189,296,74
extended_L6_L10,ringing,Frequency-domain truncation,10,ringing_L10,0.02763255889294669,0.008629411238530574,0.026602965779602528,15.815587268291704,1.4683004912547737,15.750702707868498,296,74
