experiment_quality,condition,artifact,artifact_display,level,n_patients,n_measurements,mse_mean,mse_std,psnr_mean,psnr_std,n_cases,dice_WT_mean,iou_WT_mean,dice_WT_drop,iou_WT_drop
original_L1_L5,noise_L1,noise,Noise,1,74,296,0.0003942355697044,1.0906934520212673e-06,34.04245855069853,0.0120387772608272,74,0.9162021965489728,0.8515803438450478,-0.0037419963881427,-0.0053875043843565
original_L1_L5,noise_L2,noise,Noise,2,74,296,0.0015666266357387,1.1404262431711671e-05,28.050460905145183,0.0318807039563151,74,0.9157511462599311,0.8507897840884622,-0.0032909460991011,-0.0045969446277709
original_L1_L5,noise_L3,noise,Noise,3,74,296,0.0034927877792585,5.1240472140842885e-05,24.568754793436405,0.0648440990812623,74,0.9148504330852584,0.8492158672599193,-0.0023902329244283,-0.003023027799228
original_L1_L5,noise_L4,noise,Noise,4,74,296,0.0061354919988032,0.0001428076707976,22.122716216758292,0.1035275818390808,74,0.9135228781102582,0.8470320657304691,-0.0010626779494281,-0.0008392262697778
original_L1_L5,noise_L5,noise,Noise,5,74,296,0.0094493222737533,0.00030636081219,20.248356810781928,0.144922996043295,74,0.91191930624874,0.8444074568174025,0.00054089391209,0.0017853826432887
extended_L6_L10,noise_L6,noise,Noise,6,74,296,0.0202910251021888,0.0010725434289012,16.93327131341893,0.2371262772537607,74,0.9084560438025978,0.83871838844653,0.0040041563582322,0.0074744510141612
extended_L6_L10,noise_L7,noise,Noise,7,74,296,0.0339266012888401,0.0021863935447318,14.703936039771008,0.2881565003513487,74,0.901036803780595,0.8272813783832181,0.011423396380235,0.0189114610774731
extended_L6_L10,noise_L8,noise,Noise,8,74,296,0.0651975600678171,0.0039098553895759,11.865676734028774,0.2656966612123186,74,0.884599924610097,0.8022923929548045,0.0278602755507331,0.0439004465058867
extended_L6_L10,noise_L9,noise,Noise,9,74,296,0.0959941449549955,0.0037334794407925,10.180874819013138,0.1708074564011882,74,0.863851740665287,0.7716253527730049,0.048608459495543,0.0745674866876863
extended_L6_L10,noise_L10,noise,Noise,10,74,296,0.1228413769874621,0.0022531068561114,9.107285164815384,0.0799761476108384,74,0.8362798843857316,0.7345714914322945,0.0761803157750984,0.1116213480283967
original_L1_L5,contrast_L1,contrast,Contrast,1,74,296,0.0005661220403035,0.0002277931472755,32.816209611913315,1.747349274611283,74,0.9161109356781754,0.8515074080513496,-0.0036507355173452,-0.0053145685906583
