artifact,level,modality,params,mean_mse,std_mse,mean_psnr,std_psnr,n
contrast,3,flair,{'factor': 0.5},0.035558478825259955,0.006797907882826428,14.579221700679591,0.9196709528774784,80
contrast,3,t1,{'factor': 0.5},0.036577817727811636,0.006435574989626226,14.439540030278891,0.8122161548579538,80
contrast,3,t1ce,{'factor': 0.5},0.03523822317365557,0.006251334558237176,14.600720869031994,0.8017398606890682,80
contrast,3,t2,{'factor': 0.5},0.03920238616410643,0.007124315489321099,14.148688364684116,0.8840844988033377,80
contrast,4,all_modalities,{'factor': 0.4},0.05276769709307701,0.009109308288054006,12.845743699250672,0.8009787568933371,80
contrast,4,flair,{'factor': 0.4},0.05120421922765672,0.009788992620829792,12.995596012370886,0.9196712378170433,80
contrast,4,t1,{'factor': 0.4},0.05267206910066306,0.00926723186387329,12.8559141840791,0.8122163201475102,80
contrast,4,t1ce,{'factor': 0.4},0.05074305087327957,0.009001926423034247,13.017095177843553,0.8017400994134437,80
contrast,4,t2,{'factor': 0.4},0.05645144712179899,0.010259019322570208,12.565062643755299,0.8840847744679998,80
contrast,5,all_modalities,{'factor': 0.3},0.07182267517782748,0.012398779097095487,11.506809361288447,0.8009788876951263,80
contrast,5,flair,{'factor': 0.3},0.06969461247790605,0.013323902844097128,11.656661406081643,0.9196711332680076,80
contrast,5,t1,{'factor': 0.3},0.07169251888990402,0.012613733996103303,11.516979624646646,0.8122165405882835,80
contrast,5,t1ce,{'factor': 0.3},0.06906691044569016,0.01225262039651643,11.678160648812513,0.8017401377538187,80
contrast,5,t2,{'factor': 0.3},0.07683667340315878,0.013963664548864812,11.226127914187986,0.8840848191322629,80
ghosting,1,all_modalities,"{'num_ghosts': 4, 'intensity': 0.15}",0.0009002015671285335,0.00032034632753465066,30.702651599328533,1.4449453978461007,80
ghosting,1,flair,"{'num_ghosts': 4, 'intensity': 0.15}",0.0009477780251472723,0.00038551878866763354,30.552104081495155,1.6426995583228936,80
ghosting,1,t1,"{'num_ghosts': 4, 'intensity': 0.15}",0.0011616356154263486,0.0005008859101768581,29.718662257830566,1.7905965641789097,80
ghosting,1,t1ce,"{'num_ghosts': 4, 'intensity': 0.15}",0.0007770607564452803,0.0004287084304207699,31.702575697200196,2.297359250313019,80
ghosting,1,t2,"{'num_ghosts': 4, 'intensity': 0.15}",0.0007143318256566999,0.0002064228996598212,31.631381385862237,1.219628349085686,80
ghosting,2,all_modalities,"{'num_ghosts': 8, 'intensity': 0.25}",0.001884152094135061,0.0006696789736329819,27.49430624509706,1.4432606173500977,80
ghosting,2,flair,"{'num_ghosts': 8, 'intensity': 0.25}",0.0019848708419885953,0.000807316071936812,27.341743989359742,1.6423167861294994,80
ghosting,2,t1,"{'num_ghosts': 8, 'intensity': 0.25}",0.002429151414253283,0.001046665413024317,26.51422501154488,1.7892632600295806,80
ghosting,2,t1ce,"{'num_ghosts': 8, 'intensity': 0.25}",0.001626855376525782,0.0008956039209606943,28.49114791280211,2.292639329370396,80
ghosting,2,t2,"{'num_ghosts': 8, 'intensity': 0.25}",0.0014957309962483124,0.0004315342612560222,28.421343860860475,1.2178510449715976,80
ghosting,3,all_modalities,"{'num_ghosts': 12, 'intensity': 0.35}",0.0029580831425846553,0.0010423130275414253,25.531799440834284,1.4338208203067584,80
ghosting,3,flair,"{'num_ghosts': 12, 'intensity': 0.35}",0.0031077137900865637,0.0012594078490183102,25.392680794937476,1.6376523417782654,80
ghosting,3,t1,"{'num_ghosts': 12, 'intensity': 0.35}",0.003809740976430476,0.0016300995217175137,24.555794282407415,1.780751730111548,80
ghosting,3,t1ce,"{'num_ghosts': 12, 'intensity': 0.35}",0.0025583072871086187,0.0013952206431130814,26.514031479334044,2.271445215412558,80
ghosting,3,t2,"{'num_ghosts': 12, 'intensity': 0.35}",0.0023565700408653355,0.0006736243668503323,26.44478722593957,1.210657245239283,80
ghosting,4,all_modalities,"{'num_ghosts': 16, 'intensity': 0.45}",0.00436418856261298,0.0015628811006423143,23.849501671406713,1.4512374239315406,80
ghosting,4,flair,"{'num_ghosts': 16, 'intensity': 0.45}",0.004609764798078686,0.00188010720422218,23.68364354557569,1.6453311718018524,80
ghosting,4,t1,"{'num_ghosts': 16, 'intensity': 0.45}",0.005628700734814629,0.0024414869933185924,22.868397585330186,1.7969512199787305,80
ghosting,4,t1ce,"{'num_ghosts': 16, 'intensity': 0.45}",0.003763333390816115,0.0020869346176724908,24.857225967618774,2.307916979911161,80
ghosting,4,t2,"{'num_ghosts': 16, 'intensity': 0.45}",0.003454955997585785,0.0010061290916558246,24.787876642664404,1.225635702915603,80
ghosting,5,all_modalities,"{'num_ghosts': 20, 'intensity': 0.55}",0.005658718082122505,0.002029472902117617,22.721964712531523,1.4528118677055868,80
ghosting,5,flair,"{'num_ghosts': 20, 'intensity': 0.55}",0.005980350327445194,0.002440524956615646,22.553454199030007,1.6459695721351573,80
ghosting,5,t1,"{'num_ghosts': 20, 'intensity': 0.55}",0.007298721352708526,0.003170053398787462,21.740760565867447,1.7985083250350156,80
ghosting,5,t1ce,"{'num_ghosts': 20, 'intensity': 0.55}",0.004878364651813172,0.0027091222798958474,23.731854328312803,2.310937036528335,80
ghosting,5,t2,"{'num_ghosts': 20, 'intensity': 0.55}",0.004477434779983014,0.0013063690941083816,23.662505547564837,1.2272158142213256,80
noise,1,all_modalities,{'std': 0.02},0.00030410597573791163,2.4812368419524616e-05,35.18389742236904,0.3522060089901504,80
noise,1,flair,{'std': 0.02},0.0003028778159205103,2.491728923435224e-05,35.20168737362975,0.35474463936540135,80
noise,1,t1,{'std': 0.02},0.00030482873335131445,2.4834130503968888e-05,35.17357621912575,0.35224500202567255,80
noise,1,t1ce,{'std': 0.02},0.0003044597109692404,2.4882274823380616e-05,35.17888327819547,0.3525633334178811,80
noise,1,t2,{'std': 0.02},0.00030425767217820974,2.4686419530954546e-05,35.18157597083865,0.35027780542611225,80
noise,2,all_modalities,{'std': 0.04},0.0012108138573239558,9.768423793313697e-05,29.1830550995498,0.34819762404002846,80
noise,2,flair,{'std': 0.04},0.0012059297863743269,9.795357383271968e-05,29.20078296348464,0.3502957666164659,80
noise,2,t1,{'std': 0.04},0.0012137779311160557,9.729204937950445e-05,29.17229950913506,0.34670396585641317,80
noise,2,t1ce,{'std': 0.04},0.0012150091381045059,9.886007510145544e-05,29.168270307680793,0.35117313623167334,80
noise,2,t2,{'std': 0.04},0.001208538752689492,9.758527499868037e-05,29.191210789946744,0.34782381535148926,80
noise,3,all_modalities,{'std': 0.06},0.0027054038742789998,0.00021596741536447165,25.691224832016623,0.34464739071358463,80
noise,3,flair,{'std': 0.06},0.002699116009171121,0.00021840118842985178,25.701681906362523,0.34898835867940114,80
noise,3,t1,{'std': 0.06},0.0027124964020913468,0.00021442047408029428,25.679646379466327,0.342320023632585,80
noise,3,t1ce,{'std': 0.06},0.002721923400531523,0.00021808163365313727,25.664894635131095,0.3460729419453208,80
noise,3,t2,{'std': 0.06},0.0026880799065111204,0.00021885847171908192,25.719588510605014,0.35001043636054735,80
noise,4,all_modalities,{'std': 0.08},0.004771867382805795,0.0003767011477209076,23.22635828408764,0.3407171905781752,80
noise,4,flair,{'std': 0.08},0.004773751038010232,0.00038283867327886586,23.22506019140095,0.34599609298435285,80
noise,4,t1,{'std': 0.08},0.004781848698621615,0.00037291842253905715,23.217018531037123,0.3376060456455101,80
noise,4,t1ce,{'std': 0.08},0.004817972960881889,0.0003781218920704343,23.184488592007515,0.33959468356267175,80
noise,4,t2,{'std': 0.08},0.004713896522298455,0.0003940596125830122,23.280889998475704,0.35792174039160174,80
noise,5,all_modalities,{'std': 0.1},0.007381716376403347,0.000573475161862906,21.3312490049159,0.33524699726455665,80
noise,5,flair,{'std': 0.1},0.00740772521821782,0.0005846491615014522,21.316396972437154,0.3408467854933888,80
noise,5,t1,{'std': 0.1},0.0073933719540946186,0.0005676583977689249,21.324142659339206,0.33216216124880615,80
noise,5,t1ce,{'std': 0.1},0.007477488525910303,0.0005731003933381783,21.27498947183569,0.33207454799922664,80
noise,5,t2,{'std': 0.1},0.007248279656050727,0.0006232216170964181,21.41312247465514,0.3668866366037372,80
ringing,1,all_modalities,{'keep_fraction': 0.85},0.00037320713072404034,0.00011868116841132054,34.476261672722266,1.2921156001213039,80
ringing,1,flair,{'keep_fraction': 0.85},0.0003612744563724846,0.00017794366622333205,34.891551381133254,1.9988251693973427,80
ringing,1,t1,{'keep_fraction': 0.85},0.00045405339187709615,0.00011203372621554327,33.561422828108576,1.0894523232188682,80
ringing,1,t1ce,{'keep_fraction': 0.85},0.00041282126294390765,0.00016369876068007537,34.16865690664112,1.7072482934623523,80
ringing,1,t2,{'keep_fraction': 0.85},0.0002646795317559736,0.00010965699611089408,36.094636813931345,1.6409802043418773,80
ringing,2,all_modalities,{'keep_fraction': 0.75},0.0006178110255859792,0.0001950022625405204,32.28362593460584,1.2788366935503275,80
ringing,2,flair,{'keep_fraction': 0.75},0.000602003650055849,0.00030107357105831745,32.688277185850055,2.0293481397276105,80
ringing,2,t1,{'keep_fraction': 0.75},0.0007452254511008504,0.0001759893867990513,31.399956115874808,1.0514713000570293,80
ringing,2,t1ce,{'keep_fraction': 0.75},0.0006813944564783014,0.00026074686912300237,31.963802002293903,1.6216291699270655,80
ringing,2,t2,{'keep_fraction': 0.75},0.00044262052470003257,0.00018548077810047434,33.867444390738,1.6571115881537977,80
ringing,3,all_modalities,{'keep_fraction': 0.65},0.0010066061076940969,0.00031403584258506373,30.158897890789234,1.262458385452027,80
ringing,3,flair,{'keep_fraction': 0.65},0.0009816040910664015,0.0004931529003487612,30.576014138846677,2.0590621329817793,80
ringing,3,t1,{'keep_fraction': 0.65},0.0012009685691737105,0.00027569794975211326,29.32132747954514,1.0256289903167357,80
ringing,3,t1ce,{'keep_fraction': 0.65},0.0011153564526466652,0.0004110743931021698,29.79546033426729,1.5327754865359133,80
ringing,3,t2,{'keep_fraction': 0.65},0.0007284952233021613,0.0003035618730860941,31.69859991530804,1.6476827688838396,80
ringing,4,all_modalities,{'keep_fraction': 0.55},0.0015506503630604129,0.00046780083595974315,28.271743896149342,1.2279444140403386,80
ringing,4,flair,{'keep_fraction': 0.55},0.001507235869212309,0.0007498865371962862,28.714075844706294,2.068159706894881,80
ringing,4,t1,{'keep_fraction': 0.55},0.001825435014325194,0.0004091317261423237,27.497736436423004,1.0026966449778343,80
ringing,4,t1ce,{'keep_fraction': 0.55},0.001731639343779534,0.0006044914538240222,27.855275878388632,1.4407206560883956,80
ringing,4,t2,{'keep_fraction': 0.55},0.001138291376264533,0.0004650669646370096,29.746625509129153,1.614907538268734,80
ringing,5,all_modalities,{'keep_fraction': 0.45},0.0023033826088067143,0.0006797134280861348,26.547373626809968,1.2089205553232736,80
ringing,5,flair,{'keep_fraction': 0.45},0.002238464227411896,0.0011239218658822803,27.00847761190679,2.0934169419557196,80
ringing,5,t1,{'keep_fraction': 0.45},0.002657170142629184,0.0005899531197921531,25.864722858273304,0.9905080283467296,80
ringing,5,t1ce,{'keep_fraction': 0.45},0.0025887521915137768,0.0008542653014707541,26.08359950731134,1.359402929038902,80
ringing,5,t2,{'keep_fraction': 0.45},0.0017291437587118707,0.000698585267192156,27.92457711153517,1.601491479671495,80
