experiment,artifact,artifact_display,level,condition,mse_mean,mse_std,mse_median,psnr_mean,psnr_std,psnr_median,n_measurements,n_patients
blur_ghosting_extended_L6_L10,ghosting,Ghosting,9,ghosting_L9,0.05383267071777703,0.019456054116299318,0.04962136782705784,12.97898399530985,1.6043944891669466,13.043315792786808,296,74
blur_ghosting_extended_L6_L10,ghosting,Ghosting,10,ghosting_L10,0.059850377703991695,0.02164603468556935,0.05517101101577282,12.519153117794566,1.605396233707367,12.58289514539749,296,74
original_L1_L5,noise,Gaussian noise,1,noise_L1,0.0003942355697044,1.0906934520212673e-06,0.0003943784686271,34.04245855069853,0.0120387772608272,34.04086803706626,296,74
original_L1_L5,noise,Gaussian noise,2,noise_L2,0.0015666266357387,1.1404262431711671e-05,0.0015687876148149,28.050460905145183,0.0318807039563151,28.04435848039433,296,74
original_L1_L5,noise,Gaussian noise,3,noise_L3,0.0034927877792585,5.1240472140842885e-05,0.003507875255309,24.568754793436405,0.0648440990812623,24.549558591794742,296,74
original_L1_L5,noise,Gaussian noise,4,noise_L4,0.0061354919988032,0.0001428076707976,0.0061755084898322,22.122716216758292,0.1035275818390808,22.093272768986573,296,74
original_L1_L5,noise,Gaussian noise,5,noise_L5,0.0094493222737533,0.00030636081219,0.0095363743603229,20.248356810781928,0.144922996043295,20.20616709001962,296,74
extended_L6_L10,noise,Gaussian noise,6,noise_L6,0.0202910251021888,0.0010725434289012,0.0205438286066055,16.93327131341893,0.2371262772537607,16.873186204754,296,74
extended_L6_L10,noise,Gaussian noise,7,noise_L7,0.0339266012888401,0.0021863935447318,0.0342914294451475,14.703936039771008,0.2881565003513487,14.64814411122908,296,74
extended_L6_L10,noise,Gaussian noise,8,noise_L8,0.0651975600678171,0.0039098553895759,0.0657478459179401,11.865676734028774,0.2656966612123186,11.821184713024046,296,74
extended_L6_L10,noise,Gaussian noise,9,noise_L9,0.0959941449549955,0.0037334794407925,0.0965036340057849,10.180874819013138,0.1708074564011882,10.15456333109079,296,74
extended_L6_L10,noise,Gaussian noise,10,noise_L10,0.1228413769874621,0.0022531068561114,0.1231392510235309,9.107285164815384,0.0799761476108384,9.096034926910086,296,74
original_L1_L5,contrast,Contrast reduction,1,contrast_L1,0.0005661220403035,0.0002277931472755,0.0005275547446217,32.816209611913315,1.747349274611283,32.777327114013445,296,74
original_L1_L5,contrast,Contrast reduction,2,contrast_L2,0.0035381966822692,0.0014236405583542,0.0032972163753584,24.857468484030832,1.7472922189573026,24.81852799326184,296,74
original_L1_L5,contrast,Contrast reduction,3,contrast_L3,0.0090577541834775,0.0036444830628018,0.008440903853625,20.775077460918634,1.7472779697435457,20.73611292026487,296,74
