artifact,level,condition,dice_WT_mean,dice_WT_std,iou_WT_mean,iou_WT_std,dice_TC_mean,dice_TC_std,iou_TC_mean,iou_TC_std,dice_ET_mean,dice_ET_std,iou_ET_mean,iou_ET_std,dice_class_1_mean,dice_class_1_std,iou_class_1_mean,iou_class_1_std,dice_class_2_mean,dice_class_2_std,iou_class_2_mean,iou_class_2_std,dice_class_3_mean,dice_class_3_std,iou_class_3_mean,iou_class_3_std,pred_voxels_WT_mean,pred_voxels_WT_std,true_voxels_WT_mean,true_voxels_WT_std
ghosting,1,ghosting_L1,0.9175459716167927,0.06500804253213736,0.8535315691976573,0.0995283242575837,0.8869792128746328,0.11042148575244229,0.811857406803254,0.15359925484629974,0.818007533951235,0.2032985899423626,0.7287798505819152,0.22083486815491368,0.7203808321818392,0.23578433918509734,0.6076916541580237,0.2502966310729027,0.7975382797895902,0.17779882213575796,0.6915815519767714,0.19833525343065242,0.818007533951235,0.2032985899423626,0.7287798505819152,0.22083486815491368,95625.98648648648,52492.256505385754,99706.22972972973,53840.47735279322
ghosting,2,ghosting_L2,0.9157522721906027,0.06214166418866487,0.850001555812505,0.09584384605440187,0.8882876145045087,0.10813755542083209,0.8134535631072605,0.15113605236705188,0.817589374345557,0.2048143145957271,0.7285226208494473,0.22121616733780836,0.7207711093577692,0.23361870917042638,0.6073536132759194,0.24799924060598827,0.7945757514024556,0.1759612948434135,0.6867656024122382,0.19580318467864385,0.817589374345557,0.2048143145957271,0.7285226208494473,0.22121616733780836,97173.97297297297,53453.972793390385,99706.22972972973,53840.47735279322
ghosting,3,ghosting_L3,0.9087184602659087,0.05909127601890533,0.8375886551651033,0.09157878568570134,0.8876569407475812,0.10756612221244477,0.8122255808066554,0.14986442626449684,0.8266249762350237,0.18615060145093842,0.7366373897498523,0.2094331143402422,0.7190857141306676,0.23250381330111317,0.6046701355641158,0.2460660682793571,0.7816466703962209,0.17664894694382086,0.6689133934103607,0.19524242389744462,0.8266249762350237,0.18615060145093842,0.7366373897498523,0.2094331143402422,99134.55405405405,54722.479914851116,99706.22972972973,53840.47735279322
ghosting,4,ghosting_L4,0.8919904407547026,0.06290687568052021,0.810317844431492,0.09454647443231994,0.8836264776975634,0.1096806619675852,0.8060166149831581,0.15061072521965574,0.8309211667500191,0.1687876961457199,0.7386834195566256,0.1992977158698791,0.7145042334550556,0.2304450568537315,0.5980438125204923,0.24308333690391182,0.7537057323126853,0.18252048789097677,0.6329175926202948,0.19855219045993047,0.8309211667500191,0.1687876961457199,0.7386834195566256,0.1992977158698791,102339.44594594595,56684.353105027076,99706.22972972973,53840.47735279322
ghosting,5,ghosting_L5,0.8603073097673931,0.07829017474144859,0.7619667409342026,0.10581910887073345,0.8710838134044268,0.12522748975361317,0.7892834007756717,0.16300390307258442,0.801636207504886,0.2030603660402863,0.7049633796404091,0.21974567910079987,0.6967552787630116,0.2334220188210023,0.5771694996504056,0.24491115956887136,0.7053029224945053,0.19278299514907038,0.5740178889331805,0.20219926599467727,0.801636207504886,0.2030603660402863,0.7049633796404091,0.21974567910079987,108284.27027027027,59705.52836597462,99706.22972972973,53840.47735279322
noise,1,noise_L1,0.9162021965489731,0.06717880256174313,0.8515803438450477,0.1020454467654275,0.8854092610952445,0.11226409145243678,0.8096979183273385,0.15515627708211266,0.8164943017001602,0.20192937809343456,0.7262425440800454,0.22044405148736676,0.7188655527578732,0.2366932200116365,0.6061129944371448,0.25111257917917496,0.7955563926636675,0.1791512306670237,0.6892385494303696,0.19985694518404043,0.8164943017001602,0.20192937809343456,0.7262425440800454,0.22044405148736676,94446.47297297297,51719.76526030886,99706.22972972973,53840.47735279322
noise,2,noise_L2,0.9157511462599313,0.06708492478658314,0.8507897840884621,0.10185062176863047,0.8845463420004023,0.11165492928945539,0.8081830343525642,0.15478353541568987,0.8141444379262932,0.20310462503387716,0.7231402571968327,0.22104063801490326,0.7159827793290751,0.23832449574431494,0.6030245774302632,0.2522420190309802,0.7943131028321615,0.17888136951852057,0.6873933262215272,0.1994365518229114,0.8141444379262932,0.20310462503387716,0.7231402571968327,0.22104063801490326,94408.81081081081,51598.94557239417,99706.22972972973,53840.47735279322
noise,3,noise_L3,0.9148504330852585,0.06688705523411946,0.8492158672599194,0.10152381797004177,0.8828456511605703,0.11151619112309799,0.8054236340116752,0.1548449378285403,0.797899896829622,0.22282579705328284,0.7056327280593098,0.23348493270255363,0.7115715843327327,0.24198714395329665,0.5985701875117593,0.2541807397169733,0.7922389357774982,0.1787266283532651,0.6843789554941486,0.19879511870851602,0.797899896829622,0.22282579705328284,0.7056327280593098,0.23348493270255363,94238.97297297297,51378.632185297975,99706.22972972973,53840.47735279322
noise,4,noise_L4,0.9135228781102582,0.06740492070857636,0.847032065730469,0.101982636211868,0.8810147107844588,0.1114088594993054,0.8024799508281621,0.15502165889070704,0.8077444308915526,0.2048674880798674,0.7142866353537962,0.22146816131010708,0.7053947292358502,0.2433577421445564,0.5912940484413249,0.25462903603874193,0.7892033841002656,0.17874484273463556,0.68011772165229,0.19848294565505076,0.8077444308915526,0.2048674880798674,0.7142866353537962,0.22146816131010708,93928.97297297297,51172.362032101526,99706.22972972973,53840.47735279322
noise,5,noise_L5,0.9119193062487401,0.06806332173575451,0.8444074568174026,0.102587326318174,0.8792008915895831,0.11237313199271906,0.7998195136307416,0.1562530237774106,0.8041269525091931,0.2060559765144962,0.7093750809339344,0.22185069560854961,0.7006153432898412,0.24320488556065464,0.5852463123707955,0.253570077926032,0.7860861894024262,0.17881942940120404,0.6757969747321898,0.19832146718321578,0.8041269525091931,0.2060559765144962,0.7093750809339344,0.22185069560854961,93548.17567567568,50922.47469918624,99706.22972972973,53840.47735279322
ringing,1,ringing_L1,0.9162951140111427,0.06731494442462468,0.8517668109165343,0.10228656969121074,0.8859947594668834,0.111976616643074,0.8105569579357602,0.15463236180479706,0.8170939672124324,0.20145532919343953,0.7269619378822957,0.22002726169190145,0.7202660789395884,0.236200298161083,0.6076918735606316,0.2507043237604925,0.79571774947765,0.17969901917156478,0.6896491782451787,0.2005076913129883,0.8170939672124324,0.20145532919343953,0.7269619378822957,0.22002726169190145,94397.56756756757,51719.24380335875,99706.22972972973,53840.47735279322
ringing,2,ringing_L2,0.9162294106233406,0.06728758259540218,0.851647776490729,0.10221676834523781,0.8861001114584424,0.11160047985878967,0.8106326539069769,0.15417162950372212,0.8164481819760856,0.20135498905881685,0.7259728106377634,0.2198532698518593,0.7192891712034413,0.23639442207775088,0.6064829005552212,0.25060004683092074,0.7956030417034721,0.17982755158740674,0.6895260363590578,0.2006183627497962,0.8164481819760856,0.20135498905881685,0.7259728106377634,0.2198532698518593,94356.63513513513,51700.72994174149,99706.22972972973,53840.47735279322
ringing,3,ringing_L3,0.9158906553461346,0.06758102364840193,0.8511123297156986,0.10247873687056494,0.8859104855783699,0.11125785548093339,0.8102350697121579,0.1537274356572982,0.801604196517476,0.22101605058182894,0.7103671171801869,0.23248314694090846,0.7179316690703709,0.2357581372741475,0.604525148471652,0.2498602236072461,0.7949674464476725,0.18017637025234687,0.6887326433609356,0.20088471670769753,0.801604196517476,0.22101605058182894,0.7103671171801869,0.23248314694090846,94251.9054054054,51684.82782121594,99706.22972972973,53840.47735279322
ringing,4,ringing_L4,0.9153089624161336,0.06823878990450698,0.8502140291294136,0.10302545749180572,0.885373876558343,0.11073286885603437,0.8092197093336696,0.15298354117435273,0.7854624341530947,0.23761904819442403,0.6926875188398787,0.2425961111579358,0.714233786476185,0.2360416772946337,0.5996365520355093,0.2481294633683079,0.7935857802232273,0.18074281125955027,0.6869448794134319,0.20123867497009834,0.7854624341530947,0.23761904819442403,0.6926875188398787,0.2425961111579358,94032.82432432432,51671.54819517724,99706.22972972973,53840.47735279322
ringing,5,ringing_L5,0.9140516450093401,0.0689959894785021,0.8481775978891046,0.10359508413994804,0.8838861762617279,0.10995279031013488,0.8065771672732626,0.1516975706144902,0.7798974938800359,0.23557413268184507,0.6840136552803964,0.23967155043678642,0.7104121615806261,0.23069172739999905,0.5928836405458082,0.2421053722439942,0.7907588366788398,0.18101290723876945,0.6830262094883425,0.20107831845053,0.7798974938800359,0.23557413268184507,0.6840136552803964,0.23967155043678642,93718.52702702703,51662.34770842142,99706.22972972973,53840.47735279322
